digit-count, rune-count, dict-words-count, slash-count, colon-count, dash-count, dot-count, whitespace-count, class
0, 28, 2, 0, 0, 0, 0, 4, title
4, 766, 81, 0, 0, 0, 9, 103, comment
12, 18, 0, 0, 1, 1, 2, 2, date-component-day-month-year-time
0, 1933, 222, 0, 5, 2, 15, 275, comment
12, 18, 0, 0, 1, 1, 2, 2, date-component-day-month-year-time
0, 29, 2, 0, 0, 0, 0, 4, title
0, 24, 2, 0, 0, 0, 0, 2, title
8, 1031, 111, 0, 0, 4, 7, 135, comment
12, 18, 0, 0, 1, 1, 2, 2, date-component-day-month-year-time
12, 18, 0, 0, 1, 1, 2, 2, date-component-day-month-year-time
0, 29, 1, 0, 0, 0, 0, 5, title
0, 24, 1, 0, 0, 1, 0, 3, comment
0, 31, 3, 0, 0, 1, 0, 4, title
0, 23, 2, 0, 0, 0, 0, 3, comment
12, 18, 0, 0, 1, 1, 2, 2, date-component-day-month-year-time
0, 28, 5, 0, 0, 0, 1, 5, comment
4, 68, 0, 6, 1, 3, 3, 0, url
0, 22, 3, 0, 0, 0, 0, 3, title
0, 10, 0, 0, 0, 0, 0, 0, title
2, 22, 4, 0, 0, 0, 0, 4, comment
4, 56, 0, 6, 1, 0, 3, 0, url
0, 5, 0, 0, 0, 0, 0, 0, title
0, 44, 6, 0, 0, 0, 0, 5, comment
4, 50, 0, 6, 1, 0, 3, 0, url
2, 11, 2, 0, 0, 0, 0, 2, title
0, 33, 3, 0, 0, 0, 0, 4, comment
6, 57, 0, 6, 1, 2, 3, 0, url
0, 5, 1, 0, 0, 0, 0, 0, title
0, 51, 2, 0, 0, 0, 0, 7, comment
4, 51, 0, 6, 1, 0, 3, 0, url
0, 9, 2, 0, 0, 0, 0, 1, title
0, 24, 3, 0, 0, 0, 0, 3, comment
4, 58, 0, 6, 1, 2, 3, 0, url
0, 0, 1, 0, 0, 0, 0, 0, comment
4, 63, 0, 6, 1, 2, 3, 0, url
0, 13, 0, 0, 0, 0, 0, 1, title
0, 30, 0, 0, 0, 0, 0, 3, comment
4, 62, 0, 6, 1, 2, 3, 0, url
0, 13, 2, 0, 0, 0, 0, 1, title
0, 9, 0, 0, 0, 0, 0, 0, title
4, 42, 1, 0, 0, 1, 1, 4, comment
4, 58, 0, 6, 1, 1, 3, 0, url
0, 5, 0, 0, 0, 0, 0, 0, title
0, 15, 0, 0, 1, 0, 0, 1, comment
4, 57, 0, 6, 1, 2, 3, 0, url
4, 73, 0, 6, 1, 2, 3, 0, url
0, 29, 1, 0, 0, 0, 2, 2, title
0, 30, 3, 0, 0, 0, 2, 3, comment
2, 22, 1, 0, 0, 0, 0, 2, title
0, 19, 2, 0, 0, 0, 0, 1, comment
6, 68, 0, 6, 1, 2, 3, 0, url
0, 21, 3, 0, 0, 0, 0, 2, title
0, 34, 4, 0, 0, 0, 0, 4, comment
4, 67, 0, 6, 1, 2, 3, 0, url
0, 4, 0, 0, 0, 0, 0, 0, title
0, 35, 4, 0, 0, 0, 1, 4, comment
4, 53, 0, 6, 1, 1, 3, 0, url
0, 12, 1, 0, 0, 0, 0, 1, title
0, 0, 1, 0, 0, 0, 0, 0, comment
4, 61, 0, 6, 1, 2, 3, 0, url
0, 21, 3, 0, 0, 0, 0, 3, title
0, 31, 3, 0, 0, 0, 0, 3, comment
4, 68, 0, 6, 1, 3, 3, 0, url
0, 41, 2, 0, 0, 0, 1, 4, title
0, 25, 4, 0, 0, 0, 0, 4, comment
4, 77, 0, 6, 1, 4, 3, 0, url
0, 11, 1, 0, 0, 0, 0, 1, title
0, 44, 4, 0, 1, 0, 0, 6, comment
4, 57, 0, 6, 1, 1, 3, 0, url
4, 58, 0, 6, 1, 2, 3, 0, url
0, 9, 2, 0, 0, 0, 0, 1, title
0, 60, 8, 0, 0, 0, 1, 10, comment
0, 11, 1, 0, 0, 0, 0, 1, title
0, 0, 1, 0, 0, 0, 0, 0, comment
4, 58, 0, 6, 1, 2, 3, 0, url
0, 22, 1, 0, 0, 0, 0, 3, title
0, 17, 1, 0, 0, 0, 0, 2, comment
4, 69, 0, 6, 1, 3, 3, 0, url
0, 10, 0, 0, 0, 0, 0, 0, title
0, 11, 2, 0, 0, 0, 0, 1, comment
4, 57, 0, 6, 1, 1, 3, 0, url
0, 7, 1, 0, 0, 0, 0, 0, title
0, 0, 1, 0, 0, 0, 0, 0, comment
4, 56, 0, 6, 1, 0, 3, 0, url
0, 4, 1, 0, 0, 0, 0, 0, title
0, 33, 3, 0, 0, 1, 0, 5, comment
4, 53, 0, 6, 1, 1, 3, 0, url
6, 92, 0, 6, 1, 9, 3, 0, url
2, 52, 5, 0, 0, 0, 0, 12, title
4, 28, 1, 0, 0, 1, 0, 2, comment
0, 31, 1, 0, 0, 0, 0, 6, title
4, 28, 1, 0, 0, 1, 0, 2, comment
4, 73, 0, 6, 1, 4, 3, 0, url
0, 32, 3, 0, 0, 0, 0, 6, title
4, 28, 1, 0, 0, 1, 0, 2, comment
4, 74, 0, 6, 1, 4, 3, 0, url
0, 47, 0, 0, 0, 0, 0, 7, title
4, 28, 1, 0, 0, 1, 0, 2, comment
4, 89, 0, 6, 1, 5, 3, 0, url
0, 9, 2, 0, 0, 0, 0, 1, title
